dataset,family,feature,reference value,tolerance,tag
configuration D,Diagnostics-initial image,Image dimension x,204,0,img_dim_x_init_img
configuration D,Diagnostics-initial image,Image dimension y,201,0,img_dim_y_init_img
configuration D,Diagnostics-initial image,Image dimension z,60,0,img_dim_z_init_img
configuration D,Diagnostics-initial image,Voxel dimension x,0.977,0,vox_dim_x_init_img
configuration D,Diagnostics-initial image,Voxel dimension y,0.977,0,vox_dim_y_init_img
configuration D,Diagnostics-initial image,Voxel dimension z,3,0,vox_dim_z_init_img
configuration D,Diagnostics-initial image,Mean intensity,-266,0,mean_int_init_img
configuration D,Diagnostics-initial image,Minimum intensity,-1000,0,min_int_init_img
configuration D,Diagnostics-initial image,Maximum intensity,3065,0,max_int_init_img
configuration D,Diagnostics-interpolated image,Image dimension x,100,1,img_dim_x_interp_img
configuration D,Diagnostics-interpolated image,Image dimension y,99,0.8,img_dim_y_interp_img
configuration D,Diagnostics-interpolated image,Image dimension z,90,0,img_dim_z_interp_img
configuration D,Diagnostics-interpolated image,Voxel dimension x,2,0,vox_dim_x_interp_img
configuration D,Diagnostics-interpolated image,Voxel dimension y,2,0,vox_dim_y_interp_img
configuration D,Diagnostics-interpolated image,Voxel dimension z,2,0,vox_dim_z_interp_img
configuration D,Diagnostics-interpolated image,Mean intensity,-270,3,mean_int_interp_img
configuration D,Diagnostics-interpolated image,Minimum intensity,-1000,0,min_int_interp_img
configuration D,Diagnostics-interpolated image,Maximum intensity,1854,30,max_int_interp_img
configuration D,Diagnostics-initial ROI,Int. mask dimension x,204,0,int_mask_dim_x_init_roi
configuration D,Diagnostics-initial ROI,Int. mask dimension y,201,0,int_mask_dim_y_init_roi
configuration D,Diagnostics-initial ROI,Int. mask dimension z,60,0,int_mask_dim_z_init_roi
configuration D,Diagnostics-initial ROI,Int. mask bounding box dimension x,100,0,int_mask_bb_dim_x_init_roi
configuration D,Diagnostics-initial ROI,Int. mask bounding box dimension y,99,0,int_mask_bb_dim_y_init_roi
configuration D,Diagnostics-initial ROI,Int. mask bounding box dimension z,26,0,int_mask_bb_dim_z_init_roi
configuration D,Diagnostics-initial ROI,Morph. mask bounding box dimension x,100,0,morph_mask_bb_dim_x_init_roi
configuration D,Diagnostics-initial ROI,Morph. mask bounding box dimension y,99,0,morph_mask_bb_dim_y_init_roi
configuration D,Diagnostics-initial ROI,Morph. mask bounding box dimension z,26,0,morph_mask_bb_dim_z_init_roi
configuration D,Diagnostics-initial ROI,Int. mask voxel count,125256,0,int_mask_vox_count_init_roi
configuration D,Diagnostics-initial ROI,Morph. mask voxel count,125256,0,morph_mask_vox_count_init_roi
configuration D,Diagnostics-initial ROI,Int. mask mean intensity,-46.9,0,int_mask_mean_int_init_roi
configuration D,Diagnostics-initial ROI,Int. mask minimum intensity,-1000,0,int_mask_min_int_init_roi
configuration D,Diagnostics-initial ROI,Int. mask maximum intensity,723,0,int_mask_max_int_init_roi
configuration D,Diagnostics-interpolated ROI,Int. mask dimension x,100,1,int_mask_dim_x_interp_roi
configuration D,Diagnostics-interpolated ROI,Int. mask dimension y,99,0.8,int_mask_dim_y_interp_roi
configuration D,Diagnostics-interpolated ROI,Int. mask dimension z,90,0,int_mask_dim_z_interp_roi
configuration D,Diagnostics-interpolated ROI,Int. mask bounding box dimension x,49,0.2,int_mask_bb_dim_x_interp_roi
configuration D,Diagnostics-interpolated ROI,Int. mask bounding box dimension y,49,0.3,int_mask_bb_dim_y_interp_roi
configuration D,Diagnostics-interpolated ROI,Int. mask bounding box dimension z,40,0.1,int_mask_bb_dim_z_interp_roi
configuration D,Diagnostics-interpolated ROI,Morph. mask bounding box dimension x,49,0.2,morph_mask_bb_dim_x_interp_roi
configuration D,Diagnostics-interpolated ROI,Morph. mask bounding box dimension y,49,0.3,morph_mask_bb_dim_y_interp_roi
configuration D,Diagnostics-interpolated ROI,Morph. mask bounding box dimension z,40,0.1,morph_mask_bb_dim_z_interp_roi
configuration D,Diagnostics-interpolated ROI,Int. mask voxel count,45985,100,int_mask_vox_count_interp_roi
configuration D,Diagnostics-interpolated ROI,Morph. mask voxel count,45985,100,morph_mask_vox_count_interp_roi
configuration D,Diagnostics-interpolated ROI,Int. mask mean intensity,-48.9,0.1,int_mask_mean_int_interp_roi
configuration D,Diagnostics-interpolated ROI,Int. mask minimum intensity,-939,1,int_mask_min_int_interp_roi
configuration D,Diagnostics-interpolated ROI,Int. mask maximum intensity,521,5,int_mask_max_int_interp_roi
configuration D,Diagnostics-resegmented ROI,Int. mask dimension x,100,1,int_mask_dim_x_reseg_roi
configuration D,Diagnostics-resegmented ROI,Int. mask dimension y,99,0.8,int_mask_dim_y_reseg_roi
